,wikidataID,attractionName,attractionDescription,country,coordinates,type,namedAfter,locatedIn,height
43,http://www.wikidata.org/entity/Q76635933,Schützenmuseum Stadtluft macht frei,Museum in Deutschland,Deutschland,Point(10.260496 51.504465),Museum,,,
44,http://www.wikidata.org/entity/Q76635936,Töpfermuseum Duingen,Museum in Deutschland,Deutschland,Point(9.699847 52.005582),Museum,,,
45,http://www.wikidata.org/entity/Q76635939,Wilhelm-Busch-Mühle,Museum in Deutschland,Deutschland,Point(10.106635 51.5705),Museum,,,
46,http://www.wikidata.org/entity/Q76635940,Freilichtmuseum Tollhus up'n Wurnbarg,Museum in Deutschland,Deutschland,,Museum,,,
47,http://www.wikidata.org/entity/Q76635943,Heimatstube Eime,Museum in Deutschland,Deutschland,Point(9.723567 52.076476),Museum,,,
48,http://www.wikidata.org/entity/Q76635945,Einbecker Schreibmaschinenmuseum,Museum in Deutschland,Deutschland,Point(9.86373 51.818739),Museum,,,
49,http://www.wikidata.org/entity/Q76635947,Arno-Schmidt-Museum,Museum in Bargfeld in Niedersachsen,Deutschland,Point(10.346707 52.702477),Museum,,Eldingen,
50,http://www.wikidata.org/entity/Q76635950,Heimatmuseum Elze,Heimatmuseum in Niedersachsen,Deutschland,Point(9.738216 52.12122),Museum,,Elze,
51,http://www.wikidata.org/entity/Q76635953,Museumslogger AE7 Emden,Museum in Deutschland,Deutschland,,Museum,,,
52,http://www.wikidata.org/entity/Q76635956,Frenker Heimatstuben,Museum in Deutschland,Deutschland,,Museum,,,
53,http://www.wikidata.org/entity/Q76635958,Schloß Hämelschenburg,Museum in Deutschland,Deutschland,Point(9.344896 52.029454),Museum,,,
54,http://www.wikidata.org/entity/Q76635961,Heimathof Emsbüren,Museum in Deutschland,Deutschland,Point(7.293705 52.387332),Museum,,,
55,http://www.wikidata.org/entity/Q76635962,Markmanns Spielzeugstuben,Museum in Deutschland,Deutschland,,Museum,,,
56,http://www.wikidata.org/entity/Q76635965,Motorrad- und Nostalgie-Museum,Museum in Deutschland,Deutschland,,Museum,,,
57,http://www.wikidata.org/entity/Q76635969,Museum Raabe-Haus,Museum in Deutschland,Deutschland,Point(9.635429 51.928564),Museum,,,
58,http://www.wikidata.org/entity/Q76635970,Bernstein-Museum Esens Bernstein Huus,Museum in Deutschland,Deutschland,Point(7.610032 53.646608),Museum,,,
59,http://www.wikidata.org/entity/Q76635975,"HOLARIUM, Museum für Holografie",Museum in Deutschland,Deutschland,Point(7.612593 53.647097),Museum,,,
60,http://www.wikidata.org/entity/Q76635978,Turmmuseum in St. Magnus,Museum in Deutschland,Deutschland,,Museum,,,
61,http://www.wikidata.org/entity/Q76635980,Alt-Freden-Sammlung,Museum in Deutschland,Deutschland,Point(9.89232 51.928945),Museum,,,
62,http://www.wikidata.org/entity/Q76635982,Freilichtmuseum Frelsdorfer Brink,Museum in Deutschland,Deutschland,Point(8.898951 53.4902),Museum,,,
63,http://www.wikidata.org/entity/Q76635984,Postgeschichtliches Museum Friesoythe,Museum in Deutschland,Deutschland,Point(7.85729 53.021374),Museum,,,
64,http://www.wikidata.org/entity/Q76635989,Heeseberg-Museum,Museum in Deutschland,Deutschland,Point(10.836882 52.087643),Museum,,,
