"wikidata_id_33808","opentripmap_id_120396","1.0"
"wikidata_id_11051","opentripmap_id_95984","1.0"
"wikidata_id_13896","opentripmap_id_3689","1.0"
"wikidata_id_35708","opentripmap_id_28671","1.0"
"wikidata_id_23105","opentripmap_id_117977","1.0"
"wikidata_id_13683","opentripmap_id_4502","1.0"
"wikidata_id_12245","opentripmap_id_28786","1.0"
"wikidata_id_40278","opentripmap_id_8671","1.0"
"wikidata_id_11081","opentripmap_id_88283","1.0"
"wikidata_id_26256","opentripmap_id_100856","1.0"
"wikidata_id_10103","opentripmap_id_9309","1.0"
"wikidata_id_34569","opentripmap_id_104981","1.0"
"wikidata_id_35718","opentripmap_id_118936","1.0"
"wikidata_id_12443","opentripmap_id_4191","1.0"
"wikidata_id_38290","opentripmap_id_37145","1.0"
"wikidata_id_39283","opentripmap_id_2954","1.0"
"wikidata_id_20754","opentripmap_id_101496","1.0"
"wikidata_id_25735","opentripmap_id_15201","1.0"
"wikidata_id_40055","opentripmap_id_17607","1.0"
"wikidata_id_38272","opentripmap_id_129235","1.0"
"wikidata_id_21651","opentripmap_id_4468","1.0"
"wikidata_id_12273","opentripmap_id_45806","1.0"
"wikidata_id_42309","opentripmap_id_115019","1.0"
"wikidata_id_28766","opentripmap_id_4522","1.0"
"wikidata_id_38275","opentripmap_id_49384","1.0"
"wikidata_id_25895","opentripmap_id_36677","1.0"
"wikidata_id_23172","opentripmap_id_93204","1.0"
"wikidata_id_40051","opentripmap_id_31894","1.0"
"wikidata_id_18280","opentripmap_id_41406","1.0"
"wikidata_id_14665","opentripmap_id_90311","1.0"
"wikidata_id_26029","opentripmap_id_79201","1.0"
"wikidata_id_24403","opentripmap_id_108256","1.0"
"wikidata_id_25735","opentripmap_id_90698","1.0"
"wikidata_id_11106","opentripmap_id_93875","1.0"
"wikidata_id_44010","opentripmap_id_8773","1.0"
"wikidata_id_28605","opentripmap_id_36368","1.0"
"wikidata_id_23307","opentripmap_id_116721","1.0"
"wikidata_id_19396","opentripmap_id_19772","1.0"
"wikidata_id_38259","opentripmap_id_37145","1.0"
"wikidata_id_20979","opentripmap_id_41036","1.0"
"wikidata_id_17641","opentripmap_id_45720","1.0"
"wikidata_id_40218","opentripmap_id_14757","1.0"
"wikidata_id_29360","opentripmap_id_95810","1.0"
"wikidata_id_27455","opentripmap_id_119464","1.0"
"wikidata_id_36591","opentripmap_id_119582","1.0"
"wikidata_id_21548","opentripmap_id_104416","1.0"
"wikidata_id_34534","opentripmap_id_31543","1.0"
"wikidata_id_11269","opentripmap_id_105288","1.0"
"wikidata_id_10880","opentripmap_id_4178","1.0"
"wikidata_id_20318","opentripmap_id_41224","1.0"
"wikidata_id_43723","opentripmap_id_125975","1.0"
"wikidata_id_12278","opentripmap_id_30093","1.0"
"wikidata_id_10786","opentripmap_id_41009","1.0"
"wikidata_id_10452","opentripmap_id_39228","1.0"
"wikidata_id_11021","opentripmap_id_89001","1.0"
"wikidata_id_14076","opentripmap_id_12282","1.0"
"wikidata_id_22466","opentripmap_id_126102","1.0"
"wikidata_id_14081","opentripmap_id_97409","1.0"
"wikidata_id_11010","opentripmap_id_16070","1.0"
"wikidata_id_25922","opentripmap_id_2469","1.0"
"wikidata_id_15093","opentripmap_id_24394","1.0"
"wikidata_id_27455","opentripmap_id_104030","1.0"
"wikidata_id_14571","opentripmap_id_94828","1.0"
"wikidata_id_23059","opentripmap_id_106266","1.0"
"wikidata_id_36397","opentripmap_id_88861","1.0"
"wikidata_id_42464","opentripmap_id_23746","1.0"
"wikidata_id_36845","opentripmap_id_8971","1.0"
"wikidata_id_13924","opentripmap_id_19218","1.0"
"wikidata_id_11500","opentripmap_id_2797","1.0"
"wikidata_id_23105","opentripmap_id_122772","1.0"
"wikidata_id_16749","opentripmap_id_10969","1.0"
"wikidata_id_24507","opentripmap_id_125171","1.0"
"wikidata_id_12261","opentripmap_id_45806","1.0"
